Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Acari (RN);24454.657;27039.683;29630.742;33466.904;37289.556;40626.299;45165.694;50557.96;55262.607;66149.816;78800.699;88387.357;95385.093;101580.498;103756.645;113378.446;116167.677;121378.79;123670.912;130776.861
Açu (RN);194927.115;184747.667;205661.671;253711.283;272714.542;306931.91;339211.34;331506.156;416422.566;572134.159;658910.717;766528.286;782781.209;794969.182;718414.442;824195.516;1049845.876;1195857.356;1082353.63;1368144.672
Afonso Bezerra (RN);18083.863;21690.026;24878.457;26691.562;28328.171;31910.288;32346.27;40563.497;45603.467;48627.105;55217.308;62367.897;64065.733;74803.258;81595.338;92791.089;91887.854;98363.105;134599.855;132006.277
Água Nova (RN);6404.348;6504.863;6830.704;7985.005;8605.799;10662.271;12085.07;13633.946;14435.074;16199.548;18267.601;19212.073;20798.384;23141.531;23900.957;24841.931;27435.887;29301.188;32297.573;33062.008
Alexandria (RN);27918.159;29799.019;31249.601;36422.972;42105.911;48487.76;51874.28;56145.788;58597.843;66803.913;73098.223;88175.012;94157.498;106961.053;114229.962;120060.717;132273.888;145415.277;147146.138;140720.42
Almino Afonso (RN);9569.301;10199.062;11085.546;12006.082;13698.177;15566.36;17250.835;18374.713;18272.564;23565.118;25740.523;28431.745;29549.531;32497.646;32981.002;34995.053;37721.136;40946.439;45394.598;47793.32
Alto do Rodrigues (RN);163795.77;156592.29;156648.399;195180.595;243378.549;284765.437;263947.252;185275.646;221399.976;299446.967;385045.955;424811.39;609180.429;415239.695;378719.335;382355.646;443336.358;449445.386;501517.33;576426.28
Angicos (RN);28740.099;29567.244;31189.107;35603.208;39326.088;47780.583;50862.092;54875.033;62906.439;74431.254;83512.182;93067.099;100698.078;101816.337;112084.049;118242.307;132488.467;152546.329;164138.577;163138.389
Antônio Martins (RN);10852.635;12388.38;14315.413;15496.406;17881.969;21722.803;26038.205;27992.558;28962.42;32455.589;35167.641;38370.658;42010.938;43730.247;48194.301;51174.109;56210.287;57760.978;59775.698;62457.083
Apodi (RN);170672.377;170160.049;169162.489;196461.713;202054.512;254206.69;296251.226;283379.676;330912.283;434705.457;473000.851;511764.559;494229.86;387880.291;391402.418;441402.026;477596.745;502416.903;507058.476;655424.032
Areia Branca (RN);394293.967;395747.009;472741.459;621829.928;687871.096;642031.862;697226.975;497735.794;651379.005;706643.845;800836.846;830076.434;753465.194;608335.961;643402.415;506474.803;638689.1;698554.129;645771.442;856325.991
Arês (RN);48676.18;58709.483;60721.709;72710.999;164019.304;208464.902;138547.962;142103.987;202584.894;227885.599;244503.363;173029.19;200988.198;231402.587;249552.831;322938.906;404529.362;343499.558;384342.83;344145.308
