id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss,id_municipio_6,id_municipio_tse,id_municipio_rf,id_municipio_bcb,nome,capital_uf,id_comarca,id_regiao_saude,nome_regiao_saude,id_regiao_imediata,nome_regiao_imediata,id_regiao_intermediaria,nome_regiao_intermediaria,id_microrregiao,nome_microrregiao,id_mesorregiao,nome_mesorregiao,id_regiao_metropolitana,nome_regiao_metropolitana,ddd,id_uf,sigla_uf.x,nome_uf,nome_regiao,amazonia_legal,centroide,sigla_uf.y,sigla_uf_nome,id_municipio_nome,populacao,pib_per_capita
2401008,2002,176901,6229,170672,12870,84331,35955,37517,240100,16195,1619,13145,Apodi,0,2401008,24002,2ª Região de Saúde - Mossoró,240009,Mossoró,2403,Mossoró,24002,Chapada do Apodi,2401,Oeste Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-37.8356668813473 -5.62810565945156),RN,Rio Grande do Norte,Apodi,34805,5.082631805775033
2401404,2002,24515,1470,23045,6156,1651,5059,10179,240140,16276,1627,19060,Baía Formosa,0,2402204,24001,1ª Região de Saúde - São José de Mipibu,240003,Canguaretama,2401,Natal,24019,Litoral Sul,2404,Leste Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-35.0451537508468 -6.43529240283994),RN,Rio Grande do Norte,Baía Formosa,7947,3.0848118786963634
2403103,2002,140559,14291,126268,6323,23246,52521,44178,240310,16616,1661,36201,Currais Novos,0,2403103,24004,4ª Região de Saúde - Caicó,240008,Currais Novos,2402,Caicó,24012,Seridó Oriental,2402,Central Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-36.4435171566987 -6.22355020321156),RN,Rio Grande do Norte,Currais Novos,40910,3.435810315326326
2403756,2002,5706,149,5557,188,504,1191,3673,240375,16144,416,56353,Fernando Pedroza,0,2400802,24008,8ª Região de Saúde - Açu,240011,Açu,2403,Mossoró,24009,Angicos,2402,Central Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-36.3921240904151 -5.7604772139853),RN,Rio Grande do Norte,Fernando Pedroza,2620,2.1778625954198474
2404101,2002,34784,2396,32388,1634,17382,9389,3983,240410,16799,1679,14515,Galinhos,0,2411601,24003,3ª Região de Saúde - João Câmara,240005,João Câmara,2401,Natal,24008,Macau,2402,Central Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-36.2078491527451 -5.17544374308447),RN,Rio Grande do Norte,Galinhos,1873,18.57127602776295
2406908,2002,7302,261,7041,508,631,1542,4361,240690,17370,1737,27241,Lucrécia,0,2400604,24006,6ª Região de Saúde - Pau dos Ferros,240010,Pau dos Ferros,2403,Mossoró,24007,Umarizal,2401,Oeste Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-37.824554662975 -6.10353384899141),RN,Rio Grande do Norte,Lucrécia,3271,2.2323448486701314
2413300,2002,7987,219,7768,598,280,1142,5747,241330,18635,1863,24718,Serra de São Bento,0,2412302,24001,1ª Região de Saúde - São José de Mipibu,240002,Santo Antônio - Passa e Fica - Nova Cruz,2401,Natal,24014,Borborema Potiguar,2403,Agreste Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-35.718817481649 -6.42873669799907),RN,Rio Grande do Norte,Serra de São Bento,5781,1.381594879778585
2414803,2002,22209,879,21330,5140,1690,4259,10242,241480,18953,1895,20334,Vera Cruz,0,2407807,24001,1ª Região de Saúde - São José de Mipibu,240001,Natal,2401,Natal,24015,Agreste Potiguar,2403,Agreste Potiguar,1701,Região Metropolitana de Natal,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-35.4357120760567 -6.03715324863239),RN,Rio Grande do Norte,Vera Cruz,8638,2.571081268812225
2402808,2002,9739,266,9474,1343,447,1419,6264,240280,16551,1655,12768,Coronel Ezequiel,0,2411205,24005,5ª Região de Saúde - Santa Cruz,240004,Santa Cruz,2401,Natal,24014,Borborema Potiguar,2403,Agreste Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-36.1958905886917 -6.35720805591824),RN,Rio Grande do Norte,Coronel Ezequiel,5304,1.8361613876319758
2405504,2002,5752,165,5588,614,262,902,3810,240550,17078,1707,6956,Jardim de Angicos,0,2405801,24003,3ª Região de Saúde - João Câmara,240005,João Câmara,2401,Natal,24009,Angicos,2402,Central Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-35.9867944931182 -5.61381468705053),RN,Rio Grande do Norte,Jardim de Angicos,2719,2.1154836336888563
2410256,2002,97930,1456,96475,1190,74701,14793,5791,241025,16284,426,56384,Porto do Mangue,0,2400208,24008,8ª Região de Saúde - Açu,240011,Açu,2403,Mossoró,24004,Vale do Açu,2401,Oeste Potiguar,NA,NA,84,24,RN,Rio Grande do Norte,Nordeste,0,POINT(-36.8396652088791 -5.08743600281609),RN,Rio Grande do Norte,Porto do Mangue,4304,22.75325278810409
